sport,title,event_id,market_id,market_name,liquidity,volume,end_date,token_id,outcome
epl,Chelsea FC vs. Newcastle United FC,238406,1472840,Will Chelsea FC vs. Newcastle United FC end in a draw?,181781.3073,6732.339189999998,2026-03-14T17:30:00Z,73644540400340051100413239419397966976965664001220634024759989419358258209918,YES
epl,Chelsea FC vs. Newcastle United FC,238406,1472840,Will Chelsea FC vs. Newcastle United FC end in a draw?,181781.3073,6732.339189999998,2026-03-14T17:30:00Z,70850810052084820172506975634729628973647453453896772948535078508258332567945,NO
epl,Chelsea FC vs. Newcastle United FC,238406,1472844,Will Newcastle United FC win on 2026-03-14?,203330.6858,12004.997319999993,2026-03-14T17:30:00Z,79051789373886457546553944638473613045587191226843744294349583359740412740625,YES
epl,Chelsea FC vs. Newcastle United FC,238406,1472844,Will Newcastle United FC win on 2026-03-14?,203330.6858,12004.997319999993,2026-03-14T17:30:00Z,38655977207203753870282755870886836280775174509583895355149277257227776293986,NO
epl,Arsenal FC vs. Everton FC,238410,1472853,Will Arsenal FC win on 2026-03-14?,222785.6644,27229.901770000022,2026-03-14T17:30:00Z,38994064194073482228229509993277184534677234863592159586324882995065445332711,YES
epl,Arsenal FC vs. Everton FC,238410,1472853,Will Arsenal FC win on 2026-03-14?,222785.6644,27229.901770000022,2026-03-14T17:30:00Z,65107413243926488023479269111195358219087194251948719321390217956437918610949,NO
epl,Arsenal FC vs. Everton FC,238410,1472856,Will Arsenal FC vs. Everton FC end in a draw?,179763.1187,9701.863376999998,2026-03-14T17:30:00Z,106992113187483802472525853609722343519900079892023158177602461995907425337697,YES
epl,Arsenal FC vs. Everton FC,238410,1472856,Will Arsenal FC vs. Everton FC end in a draw?,179763.1187,9701.863376999998,2026-03-14T17:30:00Z,91359477560390760441854731057178802599755327341046283588833996829775565158304,NO
epl,Arsenal FC vs. Everton FC,238410,1472860,Will Everton FC win on 2026-03-14?,196474.2898,28224.188897000004,2026-03-14T17:30:00Z,43604923306352456348302507504058451331490120371228577268768753674967093388529,YES
epl,Arsenal FC vs. Everton FC,238410,1472860,Will Everton FC win on 2026-03-14?,196474.2898,28224.188897000004,2026-03-14T17:30:00Z,63910002058664248584831531522716775853516173588097169072490655796506139398040,NO
epl,West Ham United FC vs. Manchester City FC,238417,1472870,Will West Ham United FC win on 2026-03-14?,199269.6468,17022.225290000028,2026-03-14T20:00:00Z,92825265075799673067651598133667095451197237682299985513689996841118596412360,YES
epl,West Ham United FC vs. Manchester City FC,238417,1472870,Will West Ham United FC win on 2026-03-14?,199269.6468,17022.225290000028,2026-03-14T20:00:00Z,8359825774148746572088345978275454855859473977228798843114327800492485904998,NO
epl,West Ham United FC vs. Manchester City FC,238417,1472871,Will West Ham United FC vs. Manchester City FC end in a draw?,189842.8301,11093.907873999999,2026-03-14T20:00:00Z,52897666716753511378027594732307969461017240907137020287869911227782989125449,YES
epl,West Ham United FC vs. Manchester City FC,238417,1472871,Will West Ham United FC vs. Manchester City FC end in a draw?,189842.8301,11093.907873999999,2026-03-14T20:00:00Z,82800638025904309087579734586058289663668396199701874902606714160037753969982,NO
epl,West Ham United FC vs. Manchester City FC,238417,1472873,Will Manchester City FC win on 2026-03-14?,255865.0354,112429.5220619999,2026-03-14T20:00:00Z,110162709167587205216232528451528728935099976071721615825821885124373392450388,YES
epl,West Ham United FC vs. Manchester City FC,238417,1472873,Will Manchester City FC win on 2026-03-14?,255865.0354,112429.5220619999,2026-03-14T20:00:00Z,49245549336290031579679695778378824875023636927679960174066912313036743279237,NO
epl,West Ham United FC vs. Manchester City FC - More Markets,238543,1473345,West Ham United FC vs. Manchester City FC: Both Teams to Score,6536.8683,276.99406799999997,2026-03-14T20:00:00Z,27316276768032441696895155661384698859694028511997032316093727625204419090989,YES
epl,West Ham United FC vs. Manchester City FC - More Markets,238543,1473345,West Ham United FC vs. Manchester City FC: Both Teams to Score,6536.8683,276.99406799999997,2026-03-14T20:00:00Z,76034843918421114824649044686380536562598531209115485694518705897867633964549,NO
epl,Arsenal FC vs. Everton FC - More Markets,238547,1473380,Arsenal FC vs. Everton FC: Both Teams to Score,3927.5481,865.231758,2026-03-14T17:30:00Z,35493065441564416264785774361015772515254318836572750318720993260551850607369,YES
epl,Arsenal FC vs. Everton FC - More Markets,238547,1473380,Arsenal FC vs. Everton FC: Both Teams to Score,3927.5481,865.231758,2026-03-14T17:30:00Z,95989992553922829590550245642888578010071314124680552548066472156170228936876,NO
epl,Chelsea FC vs. Newcastle United FC - More Markets,238550,1473427,Chelsea FC vs. Newcastle United FC: Both Teams to Score,7972.7519,552.7203999999999,2026-03-14T17:30:00Z,18766715726713300840592630388295474317555872165637459547584801360668843219138,YES
epl,Chelsea FC vs. Newcastle United FC - More Markets,238550,1473427,Chelsea FC vs. Newcastle United FC: Both Teams to Score,7972.7519,552.7203999999999,2026-03-14T17:30:00Z,79881875010977607026986867841771194520190226771071897170123420640608260216860,NO
epl,Sunderland AFC vs. Brighton & Hove Albion FC - More Markets,238554,1473479,Sunderland AFC vs. Brighton & Hove Albion FC: Both Teams to Score,7795.7515,640.1338270000001,2026-03-14T15:00:00Z,69465412723518552772603647206212106907509175526224829040056022462753395959361,YES
epl,Sunderland AFC vs. Brighton & Hove Albion FC - More Markets,238554,1473479,Sunderland AFC vs. Brighton & Hove Albion FC: Both Teams to Score,7795.7515,640.1338270000001,2026-03-14T15:00:00Z,89209088665799301047159142882267967377270775237904844889746532080054875232283,NO
epl,Burnley FC vs. AFC Bournemouth - More Markets,238557,1473520,Burnley FC vs. AFC Bournemouth: Both Teams to Score,7063.935,496.41135099999985,2026-03-14T15:00:00Z,33721431910087390444274784098123789482746612612395336626115945048929369218237,YES
epl,Burnley FC vs. AFC Bournemouth - More Markets,238557,1473520,Burnley FC vs. AFC Bournemouth: Both Teams to Score,7063.935,496.41135099999985,2026-03-14T15:00:00Z,37108418916284745836419079320907676172444251133945955714761098371083535861418,NO
epl,Manchester United FC vs. Aston Villa FC,240653,1480715,Will Manchester United FC win on 2026-03-15?,240593.1183,38029.209658999964,2026-03-15T14:00:00Z,49199458578674299280518325446666793632087135647583739482099632115201280158865,YES
epl,Manchester United FC vs. Aston Villa FC,240653,1480715,Will Manchester United FC win on 2026-03-15?,240593.1183,38029.209658999964,2026-03-15T14:00:00Z,1568229071759159337157854957391103650766746527032661856923664723583647666958,NO
epl,Manchester United FC vs. Aston Villa FC,240653,1480718,Will Aston Villa FC win on 2026-03-15?,192782.102,6190.856154000002,2026-03-15T14:00:00Z,33963961321781294066793384128140382622650266529966795638041684912285934887597,YES
epl,Manchester United FC vs. Aston Villa FC,240653,1480718,Will Aston Villa FC win on 2026-03-15?,192782.102,6190.856154000002,2026-03-15T14:00:00Z,107239732658732337610908501548179173173217878970285380780115814348250174042822,NO
epl,Manchester United FC vs. Aston Villa FC,240653,1480716,Will Manchester United FC vs. Aston Villa FC end in a draw?,168409.8834,2572.160095000001,2026-03-15T14:00:00Z,94115882077608044197525900408809358480680877998869298629002836029249577661902,YES
epl,Manchester United FC vs. Aston Villa FC,240653,1480716,Will Manchester United FC vs. Aston Villa FC end in a draw?,168409.8834,2572.160095000001,2026-03-15T14:00:00Z,36235559748593752346670434071861310040301706546267118373719597548707600659962,NO
epl,Crystal Palace FC vs. Leeds United FC,240659,1480729,Will Crystal Palace FC win on 2026-03-15?,187031.1303,12372.620964000005,2026-03-15T14:00:00Z,53860536354451728164758573120509120640842800890402836959946656108912850633383,YES
epl,Crystal Palace FC vs. Leeds United FC,240659,1480729,Will Crystal Palace FC win on 2026-03-15?,187031.1303,12372.620964000005,2026-03-15T14:00:00Z,80598114686081601233589908085445587774736434606908684810231717377616245411839,NO
epl,Crystal Palace FC vs. Leeds United FC,240659,1480730,Will Crystal Palace FC vs. Leeds United FC end in a draw?,183152.1439,1351.8312000000003,2026-03-15T14:00:00Z,2616402128368840403380800717674578354766381704420821829222164010470082617261,YES
epl,Crystal Palace FC vs. Leeds United FC,240659,1480730,Will Crystal Palace FC vs. Leeds United FC end in a draw?,183152.1439,1351.8312000000003,2026-03-15T14:00:00Z,23282703034224744038120206410892448712063779653702643816892942912601569143362,NO
epl,Crystal Palace FC vs. Leeds United FC,240659,1480732,Will Leeds United FC win on 2026-03-15?,183341.4939,1990.871989,2026-03-15T14:00:00Z,74649244239744218165949496953496152268678754269160115006529600518430963099320,YES
epl,Crystal Palace FC vs. Leeds United FC,240659,1480732,Will Leeds United FC win on 2026-03-15?,183341.4939,1990.871989,2026-03-15T14:00:00Z,54107138480707586007540318054541841122031784245604189708128801043855709565371,NO
epl,Nottingham Forest FC vs. Fulham FC,240664,1480740,Will Nottingham Forest FC win on 2026-03-15?,195039.608,1874.056877999999,2026-03-15T14:00:00Z,53826182091114174886828435963756500685188864753078374559198340086078124917899,YES
epl,Nottingham Forest FC vs. Fulham FC,240664,1480740,Will Nottingham Forest FC win on 2026-03-15?,195039.608,1874.056877999999,2026-03-15T14:00:00Z,113040353500743923899093749200509781860162687066099703883831193969436805148644,NO
epl,Nottingham Forest FC vs. Fulham FC,240664,1480742,Will Nottingham Forest FC vs. Fulham FC end in a draw?,176450.1932,477.2955009999999,2026-03-15T14:00:00Z,41465099298725482263011127667380436500917804417808564908106579010431828446429,YES
epl,Nottingham Forest FC vs. Fulham FC,240664,1480742,Will Nottingham Forest FC vs. Fulham FC end in a draw?,176450.1932,477.2955009999999,2026-03-15T14:00:00Z,61246809443172949894023454406287947447810835047379100936732051953925424399205,NO
epl,Nottingham Forest FC vs. Fulham FC,240664,1480744,Will Fulham FC win on 2026-03-15?,175951.9289,6222.933705999996,2026-03-15T14:00:00Z,36339850254157377830381845388945943780350502305284825112673686524258047733362,YES
epl,Nottingham Forest FC vs. Fulham FC,240664,1480744,Will Fulham FC win on 2026-03-15?,175951.9289,6222.933705999996,2026-03-15T14:00:00Z,23334940123661140906812301385003987489412432031488779578365886394605366005400,NO
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480750,Will Liverpool FC win on 2026-03-15?,215537.3538,24847.290745999988,2026-03-15T16:30:00Z,66167282560194887008564299553098597284350396523168513310347866677310039164905,YES
epl,Liverpool FC vs. Tottenham Hotspur FC,240668,1480750,Will Liverpool FC win on 2026-03-15?,215537.3538,24847.290745999988,2026-03-15T16:30:00Z,95215712530178334947460173605627203176978887702736846305924091435813620491281,NO
